Ingredient,Flavors
Codfish,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Fish,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Fatty Fish,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Lean Fish,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Fish Oil,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Smoked Fish,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Salmon,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Artichoke,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Champaca,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Jasmine,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Lavendar,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Rose,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
Apple,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'herbal']"
Apple Sauce,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'herbal']"
Apricot,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Avocado,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Babaco,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Banana,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Beli,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Byrsonima crassifolia,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Cashew Apple,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Cherimoya,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Coconut,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Currant,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Black Currant,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Red Currant,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
White Currant,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Dates,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Durian,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Elderberry,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Feijoa,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Fig,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Grape,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Guava,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Hogplum,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Jackfruit,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Kiwifruit,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Litchi,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'cucumber', 'melon']"
Loquat,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Malay Apple,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Mango,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Melon,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Musk Melon,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Naranjilla,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Orange,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Bitter Orange,"['green', 'sweet', 'fatty', 'woody', 'herbal', 'medicine', 'cucumber']"
Papaya,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Mountain Papaya,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Passionfruit,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Yellow Passionfruit,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Pawpaw,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Peach,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Pear,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Bartlett Pear,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'cucumber']"
Prickly Pear,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'dry']"
Pepino,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'dry']"
Pineapple,"['green', 'sweet', 'woody', 'fatty', 'herbal', 'medicine', 'floral']"
Plum,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Plumcot,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Pumpkin,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Quince,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Chinese Quince,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Raisin,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Roseapple,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Sapodilla,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Soursop,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Spineless Monkey Orange,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Starfruit,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Tamarind,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Woodapple,"['green', 'woody', 'sweet', 'fatty', 'herbal', 'medicine', 'dry']"
Berry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Bilberry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Blackberry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Blueberry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Cherry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Bitter Cherry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Sour Cherry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Wild Cherry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Cloudberry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Cranberry,"['green', 'woody', 'sweet', 'herbal', 'fatty', 'medicine', 'dry']"
Gooseberry,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Lingonberry,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Loganberry,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Raspberry,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Strawberry,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Strawberry Jam,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Bergamot,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Citrus Fruits,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Grapefruit,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Kumquat,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Lemon,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Lime,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Mandarin Orange,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Satsuma Orange,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Tangerine,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Vanilla,"['green', 'woody', 'herbal', 'sweet', 'fatty', 'medicine', 'dry']"
Mushroom,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Truffle,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Angelica,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Artemisia,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Basil,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Buckwheat,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Calamus,"['green', 'woody', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Chervil,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Coriander,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Cornmint,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Dill,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Fennel,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Fenugreek,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Garlic,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Lemon Balm,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Liqourice,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Mint,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Rhubarb,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Rosemary,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Sage,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Spearmint,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Scotch Spearmint,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Tarragon,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Thyme,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Beef,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Beef Processed,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Chicken,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Frankfurter Sausage,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Ham,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Lamb,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Meat,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Mutton,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Pork,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Sukiyaki,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Turkey,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Almond,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Brazil Nut,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Cocoa,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Beans,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Lima Beans,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Kidney Beans,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Peanut,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Peas,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Soybean,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'dry', 'fatty']"
Soybean Oil,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Soybean Sauce,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Filbert,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'fatty', 'dry']"
Hazelnut,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'fatty', 'dry']"
Macadamia Nut,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'fatty']"
Nuts,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'fatty']"
Pecans,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Walnut,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Muskmallow,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Sesame,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Allium,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Alpinia,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Ceriman,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Chicory,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Hops,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Laurel,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Myrtle,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Olive,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Pine,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Sassafras,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Tea,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Fermented Tea,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Tobacco,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Watercress,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Creosote,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Honey,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Macaroni,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Mustard Oil,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Peanut Butter,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Peanut Oil,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Rye,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Storax,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Vinegar,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Anise,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Anise Hyssop,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Star Anise,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Caraway,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Cardamom,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Cassia,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Celery,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Cinnamon,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Clove,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Cumin,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Ginger,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Mace,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Marjoram,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'dry', 'thyme']"
Nutmeg,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'dry', 'thyme']"
Oregano,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'dry', 'thyme']"
Parsley,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'dry', 'thyme']"
Pepper,"['woody', 'green', 'herbal', 'sweet', 'medicine', 'dry', 'thyme']"
Saffron,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
